index,hash,key,description,english value,translated value
1,"f4d28104445143ea1360d59654bf098c","['accountSettingsWindow', 'accountNameRules']","","Account names cannot contain emoji or other special characters","Käyttäjänimet eivät voi sisältää emojeita tai muita erikoisia merkkejä"
2,"fbee23479b21321a9a6f5b831b77443d","['accountSettingsWindow', 'accountsText']","Label for a list of multiple account names","Accounts","Tilit"
3,"deca084efae7e2fb4bdfc3a778d5728c","['accountSettingsWindow', 'achievementProgressText']","text in the 'account' window showing how many achievements you have","Achievements: ${COUNT} out of ${TOTAL}","Tavoitteet: ${COUNT} määrästä ${TOTAL}"
4,"ccb10d222f6459ebca9cd744de1bfb3c","['accountSettingsWindow', 'campaignProgressText']","text in the 'account' window showing how far you've progressed in the co-op campaign (on hard mode)","Campaign Progress [Hard]: ${PROGRESS}","Kampanjaeteneminen [vaikea]: ${PROGRESS}"
5,"b63380a17508c0bf765f3b0868bc7c3b","['accountSettingsWindow', 'changeOncePerSeason']","warning shown for values (such as account name) that can only be changed once per season","You can only change this once per season.","Luo koodi"
6,"18f09ec3bb1469427da88baa3224ea01","['accountSettingsWindow', 'changeOncePerSeasonError']","error shown in a user attempts to change something such as an account name that can only be changed once per season","You must wait until next season to change this again (${NUM} days)","Sinun täytyy odottaa seuraavaa kautta vaihtaaksesi tämän uudestaan (${NUM} päivää)"
7,"d41d8cd98f00b204e9800998ecf8427e","['accountSettingsWindow', 'createAnAccountText']","","Create an Account",""
8,"b6fb8c15af1b4d4f8ddc2eb43ad9bf70","['accountSettingsWindow', 'customName']","title of an option allowing a user to pick their own name for their account","Custom Name","Käyttäjänimi"
9,"d41d8cd98f00b204e9800998ecf8427e","['accountSettingsWindow', 'deleteAccountText']","","Delete Account",""
10,"d41d8cd98f00b204e9800998ecf8427e","['accountSettingsWindow', 'googlePlayGamesAccountSwitchText']","","If you want to use a different Google account,
use the Google Play Games app to switch.",""
11,"420e6f4b7d8606d7d3a7b9aa9417b907","['accountSettingsWindow', 'linkAccountsEnterCodeText']","Label for a button used to enter an account-linking code (which will link the account to the one that generated the code)","Enter Code","Kirjoita koodi"
12,"b63380a17508c0bf765f3b0868bc7c3b","['accountSettingsWindow', 'linkAccountsGenerateCodeText']","Label for a button used to generate an account-linking code (which can be entered on another account to link the two together)","Generate Code","Luo koodi"
13,"e971479c23e31a481643438170e93f14","['accountSettingsWindow', 'linkAccountsInfoText']","Description for account-linking, which lets you share progress and inventory between multiple accounts (on different platforms, etc.)","(share progress across different platforms)","(Pidä menestyksesi toisillakin laitteilla)"
